future_name,month,date,open,high,low,close,change,volume,open_int,open_int_change
Corn(CBOT),2021-07-01,2020-01-07,416.25,417.25,416.0,417.25,0.25,184,4841,53
Corn(CBOT),2021-07-01,2020-07-01,372.75,383.25,371.5,380.75,8.0,6927,72591,681
Corn(CBOT),2021-07-01,2020-07-15,357.5,360.0,355.0,357.75,0.25,11965,79805,728
Corn(CBOT),2021-07-01,2021-05-06,709.5,722.5,705.5,718.75,10.25,204867,726355,-9220
Corn(CBOT),2021-07-01,2020-07-29,354.25,355.75,351.5,352.0,-2.25,5505,82919,-71
Corn(CBOT),2021-07-01,2019-08-16,424.25,426.5,424.25,426.5,4.5,61,2081,-28
Corn(CBOT),2021-07-01,2019-08-02,430.25,431.75,429.75,431.75,2.0,43,1866,1866
Corn(CBOT),2021-07-01,2020-07-28,355.75,356.0,353.0,354.25,-3.5,9569,82990,117
Corn(CBOT),2021-07-01,2021-05-07,719.0,735.25,715.5,732.25,13.5,199836,717577,-8778
Corn(CBOT),2021-07-01,2020-07-14,360.0,362.0,357.25,357.5,-2.0,16903,79077,-1277
Corn(CBOT),2021-07-01,2020-12-24,447.25,450.25,447.0,450.25,2.5,31280,227566,754
Corn(CBOT),2021-07-01,2021-03-29,535.5,535.75,527.0,531.25,-4.5,64090,411915,2936
Corn(CBOT),2021-07-01,2020-12-30,463.75,473.0,460.25,472.0,8.0,27231,234380,862
Corn(CBOT),2021-07-01,2020-12-18,434.25,440.5,434.0,439.75,4.5,21506,221630,2086
Corn(CBOT),2021-07-01,2021-03-15,526.75,539.0,523.0,537.75,9.25,58103,405792,3094
Corn(CBOT),2021-07-01,2020-01-06,418.5,418.75,415.25,417.0,-1.0,321,4788,96
Corn(CBOT),2021-07-01,2021-03-01,540.5,542.0,526.0,527.0,-8.0,65809,401029,-518
Corn(CBOT),2021-07-01,2020-10-26,420.25,420.25,415.0,419.25,-1.0,26697,152362,214
Corn(CBOT),2021-07-01,2020-03-04,400.5,403.0,399.25,402.0,0.25,2754,20797,1439
Corn(CBOT),2021-07-01,2020-03-10,397.75,399.75,396.5,399.75,3.5,2159,22511,-43
Corn(CBOT),2021-07-01,2020-10-22,417.75,420.5,414.25,419.25,1.25,24897,151659,3605
Corn(CBOT),2021-07-01,2021-01-07,493.75,494.5,486.0,493.5,-0.5,53517,248339,4319
Corn(CBOT),2021-07-01,2021-01-13,521.25,540.25,520.25,524.0,7.75,55319,265329,1413
Corn(CBOT),2021-07-01,2021-03-05,520.75,535.5,520.0,534.0,11.5,63344,402862,-3057
Corn(CBOT),2021-07-01,2020-01-16,415.5,416.25,410.5,411.75,-7.0,323,7250,117
Corn(CBOT),2021-07-01,2020-12-08,426.25,427.75,422.25,424.0,-3.75,27394,215575,-773
Corn(CBOT),2021-07-01,2021-03-11,523.0,531.0,521.5,528.25,4.0,56857,397683,326
Corn(CBOT),2021-07-01,2020-01-02,417.5,420.75,417.5,420.0,1.5,207,4314,106
Corn(CBOT),2021-07-01,2019-11-06,420.5,420.75,419.25,420.0,-0.25,154,3049,76
Corn(CBOT),2021-07-01,2019-11-12,417.5,418.0,416.75,418.0,1.0,15,2974,0
Corn(CBOT),2021-07-01,2021-05-03,685.0,698.0,674.0,679.5,6.25,181952,745500,-32
Corn(CBOT),2021-07-01,2020-07-10,376.0,378.25,364.75,366.25,-10.0,9274,79253,1450
Corn(CBOT),2021-07-01,2020-09-23,387.0,388.25,384.75,386.5,-1.75,25328,117263,3366
Corn(CBOT),2021-07-01,2019-08-13,423.75,429.25,423.75,425.75,0.25,119,1989,67
Corn(CBOT),2021-07-01,2020-05-06,361.0,361.5,356.5,358.0,-3.0,6601,55473,2231
Corn(CBOT),2021-07-01,2020-05-12,360.5,362.0,356.5,361.25,0.75,4194,59602,744
Corn(CBOT),2021-07-01,2019-08-07,428.25,431.25,428.25,431.25,2.0,35,1866,-4
Corn(CBOT),2021-07-01,2020-05-13,360.75,361.0,357.5,358.5,-2.75,3314,60428,826
Corn(CBOT),2021-07-01,2019-08-06,431.25,431.25,429.25,429.25,-6.25,53,1870,-6
Corn(CBOT),2021-07-01,2019-08-12,429.75,429.75,424.0,425.5,-7.25,171,1922,70
Corn(CBOT),2021-07-01,2020-05-07,357.25,361.5,357.25,359.75,1.75,4417,55638,165
Corn(CBOT),2021-07-01,2020-09-22,388.5,391.75,385.25,388.25,-0.5,28269,113897,2640
Corn(CBOT),2021-07-01,2019-11-13,417.0,417.5,416.25,416.25,-1.75,188,3070,96
Corn(CBOT),2021-07-01,2019-11-07,420.25,420.5,417.75,418.5,-1.5,64,3040,-9
Corn(CBOT),2021-07-01,2020-01-03,420.0,420.25,416.0,418.0,-2.0,138,4350,36
Corn(CBOT),2021-07-01,2021-03-10,534.25,534.75,522.25,524.25,-10.5,75289,397357,-2545
Corn(CBOT),2021-07-01,2020-12-09,424.0,428.0,423.5,427.5,3.5,28303,214112,-1463
Corn(CBOT),2021-07-01,2020-01-17,414.0,419.0,414.0,419.0,7.25,644,7332,82
Corn(CBOT),2021-07-01,2021-03-04,522.75,530.75,518.5,522.5,-1.5,63791,405919,-301
Corn(CBOT),2021-07-01,2020-12-21,439.75,442.75,433.25,442.25,2.5,21886,221556,-74
Corn(CBOT),2021-07-01,2021-01-12,490.5,516.25,488.0,516.25,25.0,57567,263916,6402
Corn(CBOT),2021-07-01,2021-01-06,490.5,499.5,490.5,494.0,3.5,68340,244020,4728
Corn(CBOT),2021-07-01,2020-10-23,419.0,421.5,417.5,420.25,1.0,28977,152148,489
Corn(CBOT),2021-07-01,2020-10-21,414.5,419.0,413.75,418.0,2.5,28799,148054,7753
Corn(CBOT),2021-07-01,2020-03-03,398.5,403.25,397.75,401.75,4.25,624,19358,-109
Corn(CBOT),2021-07-01,2020-10-09,403.25,411.25,402.75,409.5,6.5,18824,134927,2395
Corn(CBOT),2021-07-01,2020-03-17,384.75,385.25,380.75,381.75,-3.0,3023,26509,1566
Corn(CBOT),2021-07-01,2021-01-04,483.0,494.5,478.25,482.25,2.0,33360,236892,1807
Corn(CBOT),2021-07-01,2020-12-23,443.25,450.0,442.0,447.75,3.5,22343,226812,794
Corn(CBOT),2021-07-01,2020-01-29,412.5,414.5,410.5,411.75,-2.0,660,8998,-2
Corn(CBOT),2021-07-01,2021-03-12,527.0,529.75,521.0,528.5,0.25,79042,402698,5015
Corn(CBOT),2021-07-01,2019-12-31,419.0,419.5,417.0,418.5,-1.0,550,4208,398
Corn(CBOT),2021-07-01,2020-01-15,419.75,420.25,418.0,418.75,-1.5,440,7133,232
Corn(CBOT),2021-07-01,2019-11-11,418.0,418.0,416.75,417.0,-2.75,155,2974,-43
Corn(CBOT),2021-07-01,2019-11-05,421.25,422.25,420.0,420.25,-1.75,102,2973,-22
Corn(CBOT),2021-07-01,2020-07-13,364.0,364.0,358.0,359.5,-6.75,17184,80354,1101
Corn(CBOT),2021-07-01,2020-07-07,377.25,377.75,370.5,373.25,-3.75,11417,76463,690
Corn(CBOT),2021-07-01,2020-09-08,378.75,383.75,377.75,382.75,3.5,8602,97995,-137
Corn(CBOT),2021-07-01,2020-05-11,362.0,363.75,359.25,360.5,-1.5,7737,58858,2374
Corn(CBOT),2021-07-01,2020-05-05,361.0,362.0,359.0,361.0,-1.0,4592,53242,368
Corn(CBOT),2021-07-01,2020-05-04,362.0,362.5,359.25,362.0,-1.75,4009,52874,427
Corn(CBOT),2021-07-01,2019-08-05,429.0,435.5,429.0,435.5,3.75,47,1876,10
Corn(CBOT),2021-07-01,2020-09-09,382.0,382.5,380.0,381.75,-1.0,9091,97919,-76
Corn(CBOT),2021-07-01,2020-09-21,394.25,395.0,387.0,388.75,-6.75,31521,111257,908
Corn(CBOT),2021-07-01,2020-07-06,380.0,380.5,375.5,377.0,2.25,21280,75773,974
