date,producers_and_users,speculators,close
2012-01-06,49.859505383608564,56.55187898009655,643.5
2012-01-06,49.859505383608564,56.55187898009655,643.5
2012-01-13,46.91422836539122,62.95545951159433,599.5
2012-01-13,46.91422836539122,62.95545951159433,599.5
2012-01-20,55.22926382979796,54.91446312039197,611.5
2012-01-20,55.22926382979796,54.91446312039197,611.5
2012-01-27,59.112974166914064,51.34066990254644,641.75
2012-01-27,59.112974166914064,51.34066990254644,641.75
2012-02-03,53.46088253987062,57.38110035697356,644.5
2012-02-03,53.46088253987062,57.38110035697356,644.5
2012-02-10,54.06715506886215,58.875491760026385,631.75
2012-02-10,54.06715506886215,58.875491760026385,631.75
2012-02-17,57.926102442744885,55.81393215884539,641.75
2012-02-17,57.926102442744885,55.81393215884539,641.75
2012-02-24,57.761555566986324,53.43036047448781,640.75
2012-02-24,57.761555566986324,53.43036047448781,640.75
2012-03-02,42.57312328484157,63.16480263628733,659.0
2012-03-02,42.57312328484157,63.16480263628733,659.0
2012-03-09,38.53410897133298,68.38427205184924,654.0
2012-03-09,38.53410897133298,68.38427205184924,654.0
2012-03-16,40.596893783211186,67.12112254831098,673.0
2012-03-16,40.596893783211186,67.12112254831098,673.0
2012-03-23,36.755346568385725,71.33370794621038,646.5
2012-03-23,36.755346568385725,71.33370794621038,646.5
2012-03-30,42.50047691035535,62.35079406399245,644.0
2012-03-30,42.50047691035535,62.35079406399245,644.0
2012-04-06,51.255677847444716,55.33406621310236,658.25
2012-04-06,51.255677847444716,55.33406621310236,658.25
2012-04-13,53.420932370862865,52.207943545605275,629.25
2012-04-13,53.420932370862865,52.207943545605275,629.25
2012-04-20,60.17596663341107,44.6760899637951,612.5
2012-04-20,60.17596663341107,44.6760899637951,612.5
2012-04-27,64.24021673428696,35.717496753998546,653.0
2012-04-27,64.24021673428696,35.717496753998546,653.0
2012-05-04,57.335406290040524,41.899687092221896,662.25
2012-05-04,57.335406290040524,41.899687092221896,662.25
2012-05-11,58.17141965699616,41.757515913858654,608.0
2012-05-11,58.17141965699616,41.757515913858654,608.0
